family,scientificName,eventDate,year,month,day,startDayOfYear,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,reproductiveCondition,decimalLatitude,decimalLongitude,minimumElevationInMeters
ERICACEAE,Moneses uniflora,7/31/1965,1965,7,31,212,Growing under spruce and firs on SW slope of lake- dense foilage area with little shrub cover.,,,,,,,40.080162,-105.539702,3200
ERICACEAE,Moneses uniflora,7/28/1984,1984,7,28,210,Moist subalpine forest,,,,,,,40.66478,-105.466127,3200
HELLEBORACEAE,Aquilegia coerulea,8/9/1995,1995,8,9,221,On margin of large mesic meadow bounded by open forest of Pinus aristata and Populus tremuloides; relatively common.,,"Spur, sepals blue, petals white.",,,,,39.024781,-106.097933,3231
Liliaceae,Erythronium grandiflorum,6/29/2003,2003,6,29,180,,,,,,,,37.55405,-107.01724,3384
Liliaceae,Erythronium grandiflorum,6/22/1968,1968,6,22,174,,,,,,,Flowering,40.0125,-105.684,3201
Liliaceae,Erythronium grandiflorum,7/11/1995,1995,7,11,192,Along ridge crest and S and W facing slopes,,"herbaceous, terrestrial, white-green stems, green leaves, yellow petals, yellow anthers.",,,,,39.01667,-107.03333,3721
Liliaceae,Erythronium grandiflorum,7/10/2011,2011,7,10,191,"Bench at bottom of snowfields in bowl. On recently exposed snowmelt banks. Soil very loose, wet, and muddy.",,Some very large plants with 2-3 flowers. Could not dig deep enough to recover bulbs. Full bloom. Very Common.,,,,Full bloom.,38.9983082,-107.0323276,3292
Liliaceae,Erythronium grandiflorum,7/4/2015,2015,7,4,185,"Open, dry area among willows.",,,,,,Fruit,39.76599,-107.3166,3252
LILIACEAE,Erythronium grandiflorum,7/7/1981,1981,7,7,188,Rocky slopes to sod slopes leading to lake and interrupted by several dranage rivulets.,,,,,,,39.020252,-107.086424,3621
LILIACEAE,Erythronium grandiflorum,7/14/2009,2009,7,14,195,"At treeline on bench below solifluction lobe in loose, dlumping light colored rocky soil and above Salix planifolia thicket; with Juncus drummondii, Potentilla diversifolia, Noccea montana, Bistorta bistortoides, Viola labradorica, Sibbaldia procumbens, O",,tepals lemon yellow;>100 mostly immature plants confined to 100 sq. ft. area; only ±12 plants bloomed this year.,,,,,39.722842,-105.840449,3571
LILIACEAE,Erythronium grandiflorum,8/15/1957,1957,8,15,227,,,,,,,,40.023497,-105.680598,3353
Orobanchaceae,Castilleja miniata,8/8/2001,2001,8,8,220,Rolling tundra with tree islands of Picea with many ponds.,,Bracts & calyx red.,,,,,37.24611,-106.65083,3509
Orobanchaceae,Castilleja miniata,7/11/2013,2013,7,11,192,,,,,,,In flower,39.005077,-106.942012,3459
Orobanchaceae,Castilleja miniata,7/12/2013,2013,7,12,193,Plants are down trail to left on slope.,,,,,,In flower,39.0205,-107.043,3383
Orobanchaceae,Castilleja miniata,8/10/2014,2014,8,10,222,"Open, rocky shelves near camp. Growing in association with shrubs and in wetter areas.",,Bracts wide. Bracts and calyx red to red-orange. Fairly common.,,,,Flowers,39.00169,-107.03088,3505
Orobanchaceae,Castilleja miniata,8/10/2014,2014,8,10,222,"Open, rocky shelves near camp.",,"Same as CFW-1413? Bracts and calyx are more orange than most plants, which are typically redder. Bracts wider than typical?",,,,Flowers,39.00169,-107.03088,3505
Orobanchaceae,Castilleja miniata,8/6/2014,2014,8,6,218,Willow thicket and below west of Baldy Cinco mountain.,,,,,,Flower and fruit,37.93984,-107.14568,3519
Orobanchaceae,Castilleja miniata,7/4/2015,2015,7,4,185,Rock outcrop.,,Inflorescence red.,,,,Flower,39.76599,-107.3166,3252
Phrymaceae,Mimulus guttatus,7/8/2003,2003,7,8,189,Along small stream in spruce forest.,,,,,,flowering,37.5637,-106.5534,3390
Phrymaceae,Mimulus guttatus,7/8/2003,2003,7,8,189,Large seep area in spruce-aspen forest.,,,,,,flowering,37.5458,-106.5534,3220
Phrymaceae,Mimulus guttatus,7/13/2003,2003,7,13,194,"Dry, rocky drainage channel.",,,,,,flowering,37.7223,-107.1345,3201
Phrymaceae,Mimulus guttatus,7/17/2003,2003,7,17,198,Seep.,,,,,,flowering,37.7938,-107.3672,3843
Phrymaceae,Mimulus guttatus,7/26/2003,2003,7,26,207,Along creek in open meadow with scattered spruce and bristle cone pine.,,,,,,flowering,37.7765,-106.6597,3293
Phrymaceae,Mimulus guttatus,8/1/2003,2003,8,1,213,Alpine mesic meadow and drainage.,,,,,,flowering,37.7904,-107.5577,3720
Phrymaceae,Mimulus guttatus,8/3/2003,2003,8,3,215,Summit with rocky outcrops dropping into mesic meadow along creek.,,,,,,flowering,37.4432,-106.5979,3646
Phrymaceae,Mimulus guttatus,8/12/2003,2003,8,12,224,Alpine meadow with alpine lake.,,,,,,flowering,37.363,-106.6701,3351
Phrymaceae,Mimulus guttatus,7/10/2003,2003,7,10,191,Subalpine north-facing rocky slope into mesic meadow.,,,,,,flowering,37.5912,-106.8547,3811
Phrymaceae,Mimulus guttatus,6/9/2004,2004,6,9,161,Mesic aspen forest and lake shore.,,,,,,flowering,37.1333,-106.7932,3228
Phrymaceae,Mimulus guttatus,7/5/2004,2004,7,5,187,Seep and open mesic meadow.,,,,,,flowering,37.4602,-106.4146,3419
Phrymaceae,Mimulus guttatus,7/25/2004,2004,7,25,207,Subalpine mesic meadow in willow carr.,,,,,,flowering,37.6708,-106.9152,3515
Phrymaceae,Mimulus guttatus,8/16/2004,2004,8,16,229,Subalpine mesic meadow with lakes and streams.,,,,,,flowering,37.1125,-106.5181,3523
